Group.1,admin,ba,cc,other,pregnancy,prior,shortben,ssbg,tax,work
1998,0.10863116258391581,0.5305033278186944,0.11178148672040714,0.09103829498739502,2.725e-17,2.725e-17,2.573e-17,0.04435380647185595,2.667e-17,0.0556015270773464
1999,0.10316068293517618,0.4510662124242942,0.16018647103041095,0.08490810580853961,0.0010837411808596804,0.00837940754202936,2.122330777966758e-4,0.05532373991252265,3.855e-17,0.09333567332728397
2000,0.09558005292571105,0.3846956462964761,0.17696804367930694,0.08895926219090877,0.00494371538678046,0.023705135148948828,0.0010061804377852804,0.05627046716066949,5.66e-17,0.11001214726561594
2001,0.0939492926167043,0.33796169809814275,0.18520431963202286,0.06920364421911439,0.007267981143831867,0.03463993520243657,0.003182191728749419,0.046139779713114,6.0655e-17,0.12459551790814
2002,0.08993123149241967,0.3522115809648785,0.17776458348953228,0.07582671713807645,0.009468530021014214,0.0395304164494941,0.004662946441132782,0.038940397709040925,6.0655e-17,0.12306720175705566
2003,0.08587131487308593,0.3505682690451255,0.17921806938236717,0.07513111142265202,0.010161616387454395,0.04058924722982298,0.006960800095477536,0.03586249584113588,7.479e-17,0.1198125801786149
2004,0.08478911161566063,0.36146219099126736,0.1727270264170263,0.08125096817693077,0.0113674832525682,0.0372131380005784,0.0069270344408951245,0.036977761353939,7.34e-17,0.11681960771389736
2005,0.08467051277204642,0.34841572335285126,0.16304221696166524,0.09460758488844115,0.014447145347364696,0.03440107441816192,0.005893306962929182,0.03500204015232466,7.34e-17,0.11686682041905821
2006,0.0861389400109489,0.2995579072075495,0.1905296819798617,0.08825918079799555,0.02391351319043653,0.04925549993910534,0.008135346845573205,0.035795429854992525,0.006808618589729678,0.11850908399788407
2007,0.08346112767718243,0.2820616450810633,0.18408750725973752,0.0961904600755914,0.028101852155740875,0.04813252811970554,0.009548909935336854,0.04081255998558483,0.015730188327359878,0.11482750997673198
2008,0.08042012938209654,0.2508293116563363,0.1854760592505503,0.10479469112710307,0.03505705223545948,0.05015934080213506,0.008838639918403984,0.039729783416545414,0.0141980624768276,0.11255285147465781
2009,0.07570598049387285,0.24439231175633302,0.1526796828008721,0.10788626667654144,0.04081524205562053,0.04421759641034116,0.01865253162759163,0.03391370496167991,0.028611133586950954,0.10969298427316204
2010,0.07171478721927758,0.23058864228279832,0.14590737163680442,0.11204695414123145,0.032636933810826524,0.035832205542567414,0.02008462350142077,0.0352766688990066,0.028638772710439245,0.11301761862569992
2011,0.07029884128633478,0.22609778230934988,0.13684732642679273,0.13085107250353104,0.026188149066251273,0.0311883232065687,0.016903661319606963,0.037335369830970584,0.05401844126666987,0.10822582752131368
2012,0.07124917835443417,0.23239562273058373,0.143700719297004,0.1369868961923849,0.02819003688338539,0.03152276120383523,0.010759130770641287,0.04017698142371173,0.05172512500692183,0.09791109957587267
2013,0.07548601499460002,0.21975597687960302,0.12795770518603614,0.13924814440144728,0.024297577811247827,0.0341840868530437,0.007563717061608472,0.044814316754931055,0.05582045401804098,0.08972091098796542
