Group.1,admin,ba,cc,other,pregnancy,prior,shortben,ssbg,tax,work
1998,0.11128550228992853,0.5503880668366016,0.12007439169774758,0.12264952943138004,5.162415567600478e-4,3.973625336431276e-4,3.1132105263157894e-17,0.04603567853153868,1.5566844344536918e-4,0.07670506155437047
1999,0.10881027958961433,0.4517245355605831,0.16764200884938465,0.11490750417388416,0.0071602444116991544,0.025653706419407264,0.002863696831817646,0.056557590884698514,0.006406651629057146,0.10001101109488747
2000,0.10205408763284667,0.3862012572923144,0.1911084291634943,0.1047228524800698,0.01552295607287368,0.04479346133618856,0.006355189940189491,0.05279672476831665,0.014210729276904121,0.1189663684212642
2001,0.09967902017949784,0.35483862476770894,0.18734926937322569,0.10763764404036155,0.028040968283591122,0.06592133035731124,0.010214890258275648,0.041331900102293255,0.021650317871751028,0.1377645011757125
2002,0.09404549446147101,0.3488747523085797,0.18360531435355787,0.1127492148604074,0.03418166330985157,0.06281602822396937,0.010637578771837604,0.037694764719804076,0.029576754000949067,0.1371199501792089
2003,0.08847900190172191,0.3519956221898384,0.1840663345759362,0.11411796796470242,0.037524663319139874,0.06510452536110566,0.010493212009531875,0.037104558275199616,0.03455631321513794,0.12876065680207227
2004,0.08832951799432616,0.3564657198172738,0.18249321673295596,0.12040108226605696,0.03514002902396552,0.06476984054275849,0.010171353887828223,0.036994492847151283,0.04196088569414038,0.12320249806747717
2005,0.08786810235439822,0.34640878028762845,0.18519070602058577,0.1309392273173191,0.03599980642681623,0.06431546106992513,0.01059476571117568,0.037833793343410374,0.04314722079422279,0.12168588948916068
2006,0.08821299699021988,0.3168340975711907,0.19327473551516805,0.13199250736202015,0.042588079557182475,0.07017169661638471,0.011820807464236251,0.03850252927611082,0.04425703124661871,0.12368122870305298
2007,0.08768870149060945,0.28011646730174883,0.1973499059772574,0.1377084822293715,0.05593895853586779,0.07159798352374952,0.01478785942571601,0.040257672643820915,0.054078303510652175,0.1251686839632303
2008,0.08549269150592631,0.25500048778474327,0.19447052223708464,0.14628475005823555,0.067883035830988675,0.07513279825197715,0.017381959538969306,0.0381883731035966,0.06038017399166664,0.12293537968562589
2009,0.08042036778501087,0.24968477229221026,0.17919087817887044,0.1565395207140647,0.0747120287305578,0.06899261059941812,0.024866573047352823,0.035763609419221756,0.06908979730759904,0.12676714669947517
2010,0.07434669717076291,0.2552014403186384,0.16847264666824024,0.16439393937166388,0.07497093370613994,0.06712044254625543,0.02820753048865029,0.03358579368309461,0.07502509106807302,0.12636825937622984
2011,0.07286961976329322,0.255631397051918,0.16364918231520248,0.1762069855928439,0.07373128088771798,0.06597034004211169,0.02873041287658094,0.03326765560825427,0.0819832857659147,0.12488147707081054
2012,0.07501145568731996,0.247163260586738,0.16593055411408433,0.18702635970797027,0.07664195667683539,0.06694382492130171,0.02418529138478238,0.035527125959645155,0.08249302769837287,0.11842250668431888
2013,0.07891059856856451,0.23616743003090526,0.16958917492768352,0.19192713946750806,0.08143514369406941,0.07059825393868577,0.023896458504969544,0.03926143262871061,0.08427159250667983,0.11542818617392477
